7.14,8.61,8.01,78.58,12.11,35.4,10.94,3.1,7.68,4.31,1.28,19.5,10,0.41,1680,500,390,160,20,2,62,42,76,19,11,10,47,52,0,0,0,0,0,0,0
8.8,9.54,9.01,67.2,12.48,37.58,11.24,3.52,8.19,4.47,1.41,19.78,11.5,0.33,2036,643,455,148,23,2,81,52,103,13,8,14,50,54,10,0,0,0,0,0,0
10.26,12.02,8.64,67.64,15.77,45.53,13.25,5.08,9.19,4.35,1.33,25.92,6,0.59,1353,415,311,182,12,2,61,42,84,3,3,9,41,38,1,0,0,0,0,0,0
3.88,3.84,6.4,85.78,8.29,25.71,8.68,1.59,7.58,4.26,1.31,10.41,13.5,0.59,1197,367,281,165,27,2,43,29,61,15,8,13,34,29,3,0,0,0,0,0,0
4.95,4.99,5,89.24,9.87,28.67,9.32,2,6.52,3.84,1.19,16.67,3,0.61,384,119,100,61,6,2,12,8,13,7,6,4,23,9,0,1,0,0,0,0,0
4.33,4.59,6.37,86.85,9.61,28.08,9.56,1.96,7.43,4.16,1.26,12.83,11.5,0.53,1228,373,295,156,23,2,45,33,59,16,25,4,36,34,2,0,0,0,0,0,0
9.56,11.82,7.76,74.64,13.93,39.76,10.96,3.44,8.81,4.19,1.24,27,4.5,0.58,1019,301,243,140,9,2,31,19,59,6,6,17,18,35,0,0,0,0,0,0,0
6.09,6.22,7.9,76.21,9.78,33.42,9.63,2.71,8.62,4.39,1.38,13.93,14,0.49,1713,537,390,190,28,2,76,41,106,17,2,15,42,53,5,0,0,0,0,0,0
4.08,4.7,5.78,91.46,8.33,26.9,8.27,1.8,8.05,4.02,1.19,14.4,20,0.42,2315,686,576,241,40,2,72,37,135,16,12,21,78,76,1,0,0,0,0,0,0
7.01,7.73,8.82,73.16,11.03,36.86,10.46,3.33,8.44,4.5,1.39,15.9,10.5,0.5,1504,464,334,166,21,2,70,39,85,14,10,10,30,41,11,0,0,0,0,0,0
4.94,7.39,8.55,87.42,8.45,32.21,8.09,2.59,8.14,4.46,1.22,15.59,11,0.39,1531,420,343,133,22,2,57,19,81,14,15,17,39,48,0,0,0,0,0,0,0
6.19,7.68,8.11,81.26,10.66,37.45,9.99,3.48,9.16,4.36,1.28,17.15,13.5,0.51,2019,592,463,238,27,2,94,44,137,20,8,19,50,57,3,0,0,0,0,0,0
6.87,8.24,9.84,72.76,11.98,38.6,11.2,3.55,8.88,4.69,1.4,15.14,7.25,0.53,2060,616,439,233,29,4,103,65,125,17,12,11,38,66,6,0,0,0,0,0,0
